dataset,model,mode,canonical_run,previous_mapping_status,evidence_source,raw_prediction_status,target_status,aggregate_status,ecg_id_metadata_status,mapping_result,unique_test_ecg_ids,aggregation_reconstruction,target_consistency,saved_aggregate_match,blocker_category,notes
ptbxl_all,ECGFounder,Finetuning,PTBXL_ALL_ECGFOUNDER_FINETUNING_FORMAL,PASS,tables/PTBXL_ALL_MAPPING_RECOVERY_ADDENDUM.json; audits/ecg_id_mapping_recovery/mapping_recovery_verification.json; preserved mapping CSV,PRESERVED_AND_PREVIOUSLY_VERIFIED,PRESERVED_AND_PREVIOUSLY_VERIFIED,PRESERVED_AND_PREVIOUSLY_VERIFIED,PASS,PASS,2198,PASS,PASS,PASS,,Existing PASS read only; not recomputed in this closure pass.
ptbxl_all,ECGFounder,Frozen,PTBXL_ALL_ECGFOUNDER_FROZEN_FORMAL_RUN_001,BLOCKED,docs/PTBXL_ALL_FROZEN_LINEAR_FINAL_CLOSURE_REPORT.md (ECGFounder Frozen Run 1 preserved sidecar),ARCHIVED_REFERENCE_ONLY,ARCHIVED_REFERENCE_ONLY,ARCHIVED_REFERENCE_ONLY,SIDE_CAR_REFERENCED,BLOCKED,2198,PASS,FAIL,PASS,ORDERING_NOT_PROVEN,Preserved sidecar reports TARGET_GROUP_CONSISTENCY=False. No local raw bundle was recovered; no new discrepancy inferred.
ptbxl_all,ECGFounder,Linear,PTBXL_ALL_ECGFOUNDER_LINEAR_FORMAL_RUN_002,PASS,tables/PTBXL_ALL_MAPPING_RECOVERY_ADDENDUM.json; audits/ecg_id_mapping_recovery/mapping_recovery_verification.json; preserved mapping CSV,PRESERVED_AND_PREVIOUSLY_VERIFIED,PRESERVED_AND_PREVIOUSLY_VERIFIED,PRESERVED_AND_PREVIOUSLY_VERIFIED,PASS,PASS,2198,PASS,PASS,PASS,,Existing PASS read only; not recomputed in this closure pass.
ptbxl_all,ECG-JEPA,Finetuning,PTBXL_ALL_ECG_JEPA_FINETUNING_FORMAL,PASS,tables/PTBXL_ALL_MAPPING_RECOVERY_ADDENDUM.json; audits/ecg_id_mapping_recovery/mapping_recovery_verification.json; preserved mapping CSV,PRESERVED_AND_PREVIOUSLY_VERIFIED,PRESERVED_AND_PREVIOUSLY_VERIFIED,PRESERVED_AND_PREVIOUSLY_VERIFIED,PASS,PASS,2198,PASS,PASS,PASS,,Existing PASS read only; not recomputed in this closure pass.
ptbxl_all,ECG-JEPA,Frozen,PTBXL_ALL_ECG_JEPA_FROZEN_FORMAL_RUN_003,DEFERRED,execution_control/PTBXL_FINAL_CLOSURE/ECG_052_451_STRICT_MAPPING_VERIFICATION.json; read-only hash-verified 451 carrier,RECOVERED_HASH_VERIFIED,EMBEDDED_IN_RECOVERED_NPZ_HASH_VERIFIED,RECOVERED_HASH_VERIFIED,CANONICAL_FOLD10_METADATA_HASH_VERIFIED,PASS,2198,PASS,PASS,PASS,,Strict PASS from 451 carrier; historical source=052; windows_per_ecg=1; max_abs_diff=0.
ptbxl_all,ECG-JEPA,Linear,PTBXL_ALL_ECG_JEPA_LINEAR_FORMAL_RUN_004,DEFERRED,execution_control/PTBXL_FINAL_CLOSURE/ECG_052_451_STRICT_MAPPING_VERIFICATION.json; read-only hash-verified 451 carrier,RECOVERED_HASH_VERIFIED,EMBEDDED_IN_RECOVERED_NPZ_HASH_VERIFIED,RECOVERED_HASH_VERIFIED,CANONICAL_FOLD10_METADATA_HASH_VERIFIED,PASS,2198,PASS,PASS,PASS,,Strict PASS from 451 carrier; historical source=052; windows_per_ecg=1; max_abs_diff=0.
ptbxl_all,ST-MEM,Finetuning,PTBXL_ALL_ST_MEM_FINETUNING_FORMAL,PASS,tables/PTBXL_ALL_MAPPING_RECOVERY_ADDENDUM.json; audits/ecg_id_mapping_recovery/mapping_recovery_verification.json; preserved mapping CSV,PRESERVED_AND_PREVIOUSLY_VERIFIED,PRESERVED_AND_PREVIOUSLY_VERIFIED,PRESERVED_AND_PREVIOUSLY_VERIFIED,PASS,PASS,2198,PASS,PASS,PASS,,Existing PASS read only; not recomputed in this closure pass.
ptbxl_all,ST-MEM,Frozen,PTBXL_ALL_ST_MEM_FROZEN_FORMAL_RUN_005,DEFERRED,execution_control/PTBXL_FINAL_CLOSURE/ECG_052_451_STRICT_MAPPING_VERIFICATION.json; read-only hash-verified 451 carrier,RECOVERED_HASH_VERIFIED,EMBEDDED_IN_RECOVERED_NPZ_HASH_VERIFIED,RECOVERED_HASH_VERIFIED,CANONICAL_FOLD10_METADATA_HASH_VERIFIED,PASS,2198,PASS,PASS,PASS,,Strict PASS from 451 carrier; historical source=052; windows_per_ecg=4; max_abs_diff=0.
ptbxl_all,ST-MEM,Linear,PTBXL_ALL_ST_MEM_LINEAR_FORMAL_RUN_006,DEFERRED,execution_control/PTBXL_FINAL_CLOSURE/ECG_052_451_STRICT_MAPPING_VERIFICATION.json; read-only hash-verified 451 carrier,RECOVERED_HASH_VERIFIED,EMBEDDED_IN_RECOVERED_NPZ_HASH_VERIFIED,RECOVERED_HASH_VERIFIED,CANONICAL_FOLD10_METADATA_HASH_VERIFIED,PASS,2198,PASS,PASS,PASS,,Strict PASS from 451 carrier; historical source=052; windows_per_ecg=4; max_abs_diff=0.
ptbxl_all,MERL,Finetuning,PTBXL_ALL_MERL_FINETUNING_FORMAL,PASS,tables/PTBXL_ALL_MAPPING_RECOVERY_ADDENDUM.json; audits/ecg_id_mapping_recovery/mapping_recovery_verification.json; preserved mapping CSV,PRESERVED_AND_PREVIOUSLY_VERIFIED,PRESERVED_AND_PREVIOUSLY_VERIFIED,PRESERVED_AND_PREVIOUSLY_VERIFIED,PASS,PASS,2198,PASS,PASS,PASS,,Existing PASS read only; not recomputed in this closure pass.
ptbxl_all,MERL,Frozen,PTBXL_ALL_MERL_FROZEN_FORMAL_RUN_007,DEFERRED,execution_control/PTBXL_FINAL_CLOSURE/ECG_052_451_STRICT_MAPPING_VERIFICATION.json; read-only hash-verified 451 carrier,RECOVERED_HASH_VERIFIED,EMBEDDED_IN_RECOVERED_NPZ_HASH_VERIFIED,RECOVERED_HASH_VERIFIED,CANONICAL_FOLD10_METADATA_HASH_VERIFIED,PASS,2198,PASS,PASS,PASS,,Strict PASS from 451 carrier; historical source=052; windows_per_ecg=4; max_abs_diff=0.
ptbxl_all,MERL,Linear,PTBXL_ALL_MERL_LINEAR_FORMAL_RUN_008,DEFERRED,execution_control/PTBXL_FINAL_CLOSURE/ECG_052_451_STRICT_MAPPING_VERIFICATION.json; read-only hash-verified 451 carrier,RECOVERED_HASH_VERIFIED,EMBEDDED_IN_RECOVERED_NPZ_HASH_VERIFIED,RECOVERED_HASH_VERIFIED,CANONICAL_FOLD10_METADATA_HASH_VERIFIED,PASS,2198,PASS,PASS,PASS,,Strict PASS from 451 carrier; historical source=052; windows_per_ecg=4; max_abs_diff=0.
ptbxl_all,ECGFM-KED,Finetuning,PTBXL_ALL_ECGFM_KED_FINETUNING_FORMAL,PASS,tables/PTBXL_ALL_MAPPING_RECOVERY_ADDENDUM.json; audits/ecg_id_mapping_recovery/mapping_recovery_verification.json; preserved mapping CSV,PRESERVED_AND_PREVIOUSLY_VERIFIED,PRESERVED_AND_PREVIOUSLY_VERIFIED,PRESERVED_AND_PREVIOUSLY_VERIFIED,PASS,PASS,2198,PASS,PASS,PASS,,Existing PASS read only; not recomputed in this closure pass.
ptbxl_all,ECGFM-KED,Frozen,PTBXL_ALL_ECGFM_KED_FROZEN_FORMAL_RUN_009,DEFERRED,execution_control/PTBXL_FINAL_CLOSURE/ECG_052_451_STRICT_MAPPING_VERIFICATION.json; read-only hash-verified 451 carrier,RECOVERED_HASH_VERIFIED,EMBEDDED_IN_RECOVERED_NPZ_HASH_VERIFIED,RECOVERED_HASH_VERIFIED,CANONICAL_FOLD10_METADATA_HASH_VERIFIED,PASS,2198,PASS,PASS,PASS,,Strict PASS from 451 carrier; historical source=052; windows_per_ecg=1; max_abs_diff=0.
ptbxl_all,ECGFM-KED,Linear,PTBXL_ALL_ECGFM_KED_LINEAR_FORMAL_RUN_010,DEFERRED,execution_control/PTBXL_FINAL_CLOSURE/ECG_052_451_STRICT_MAPPING_VERIFICATION.json; read-only hash-verified 451 carrier,RECOVERED_HASH_VERIFIED,EMBEDDED_IN_RECOVERED_NPZ_HASH_VERIFIED,RECOVERED_HASH_VERIFIED,CANONICAL_FOLD10_METADATA_HASH_VERIFIED,PASS,2198,PASS,PASS,PASS,,Strict PASS from 451 carrier; historical source=052; windows_per_ecg=1; max_abs_diff=0.
ptbxl_all,HuBERT-ECG,Finetuning,PTBXL_ALL_HUBERT_ECG_FINETUNING_FORMAL,PASS,tables/PTBXL_ALL_MAPPING_RECOVERY_ADDENDUM.json; audits/ecg_id_mapping_recovery/mapping_recovery_verification.json; preserved mapping CSV,PRESERVED_AND_PREVIOUSLY_VERIFIED,PRESERVED_AND_PREVIOUSLY_VERIFIED,PRESERVED_AND_PREVIOUSLY_VERIFIED,PASS,PASS,2198,PASS,PASS,PASS,,Existing PASS read only; not recomputed in this closure pass.
ptbxl_all,HuBERT-ECG,Frozen,PTBXL_ALL_HUBERT_ECG_FROZEN_FORMAL_RUN_011,DEFERRED,execution_control/PTBXL_FINAL_CLOSURE/ECG_052_451_STRICT_MAPPING_VERIFICATION.json; read-only hash-verified 451 carrier,RECOVERED_HASH_VERIFIED,EMBEDDED_IN_RECOVERED_NPZ_HASH_VERIFIED,RECOVERED_HASH_VERIFIED,CANONICAL_FOLD10_METADATA_HASH_VERIFIED,PASS,2198,PASS,PASS,PASS,,Strict PASS from 451 carrier; historical source=052; windows_per_ecg=2; max_abs_diff=0.
